Regulation ID,Regulation Name,Regulation Status,Oversight Group,Risk Rating,Sub-Requirement ID,Sub-Requirement Name,Control ID,Control Name,Impacted Location
REG-00000001,Regulation 0000000A,Active,Legal Group,Low ,RQMT-00003816,Sub-Requirement 0LQJO,,,"Canada,Europe,US"
REG-00000002,Regulation 0000000B,Active,Legal Group,Low ,RQMT-00001910,Sub-Requirement 0JRJ0,,,Canada
REG-00000002,Regulation 0000000B,Active,Legal Group,Low ,RQMT-00004645,Sub-Requirement 0MOMN,,,Canada
REG-00000002,Regulation 0000000B,Active,Legal Group,Low ,RQMT-00003829,Sub-Requirement 0LQKR,,,"Canada,US"
REG-00000008,Regulation 0000000H,Expired,Legal Group,,RQMT-00001837,Sub-Requirement 0JQLP,,,"Canada,US"
REG-00000008,Regulation 0000000H,Expired,Legal Group,,,,,,Canada
REG-00000010,Regulation 000000A0,Expired,Legal Group,,RQMT-00000637,Sub-Requirement 00OLP,,,"Canada,US"
REG-00000010,Regulation 000000A0,Expired,Legal Group,,,,,,Canada
REG-00000010,Regulation 000000A0,Expired,Legal Group,,RQMT-00000898,Sub-Requirement 00QRQ,,,"Canada,US"
REG-00000012,Regulation 000000AB,Active,Business Group,Low ,RQMT-00014230,Sub-Requirement JMKL0,,,"Canada,Europe,US"
REG-00000012,Regulation 000000AB,Active,Business Group,Low ,,,CTRL-00005438,Control  - FXGMIPDSHCAUGC,Canada
REG-00000012,Regulation 000000AB,Active,Business Group,Low ,,,CTRL-00001224,Control  - POVOOKFWHOCREV,"Canada,Europe,US"
REG-00000012,Regulation 000000AB,Active,Business Group,Low ,,,CTRL-00000824,Control  - BCLPWLBTZINYIO,Canada
REG-00000012,Regulation 000000AB,Active,Business Group,Low ,RQMT-00015275,Sub-Requirement JNKPN,,,Canada
REG-00000012,Regulation 000000AB,Active,Business Group,Low ,RQMT-00014231,Sub-Requirement JMKLJ,,,Canada
REG-00000014,Regulation 000000AD,Active,Legal Group,Low ,RQMT-00003024,Sub-Requirement 0L0KM,,,"Canada,US"
REG-00000014,Regulation 000000AD,Active,Legal Group,Low ,RQMT-00005059,Sub-Requirement 0N0NR,,,Canada
REG-00000018,Regulation 000000AH,Active,Business Group,Low ,RQMT-00001418,Sub-Requirement 0JMJQ,,,Canada
REG-00000018,Regulation 000000AH,Active,Business Group,Low ,RQMT-00015216,Sub-Requirement JNKJO,,,"Canada,US"
REG-00000018,Regulation 000000AH,Active,Business Group,Low ,RQMT-00005443,Sub-Requirement 0NMML,,,"Canada,Europe,US"
REG-00000018,Regulation 000000AH,Active,Business Group,Low ,RQMT-00005441,Sub-Requirement 0NMMJ,,,"Canada,Europe,US"
REG-00000018,Regulation 000000AH,Active,Business Group,Low ,RQMT-00004232,Sub-Requirement 0MKLK,,,"Canada,Europe,US"
REG-00000018,Regulation 000000AH,Active,Business Group,Low ,RQMT-00003619,Sub-Requirement 0LOJR,,,"Canada,US"
